MARKER NAME,MARKER DESCRIPTION,HYPERLINK,GEOMETRY
Baton Rouge Confederate Monument,"Historical Marker erected 1886<br><br><font color=red>This marker has been reported missing.</font>

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www*",,POINT (-91.188905936326 30.446905484292)
St. Joseph Cathedral,"Historical Marker erected by City of Baton Rouge

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=87854"">this link</a>",,POINT (-91.187035936346 30.451579485088)
Morris Claiborne,"Historical Marker erected by Heath Cunningham Family & RWS, Inc.

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=107667""*",,POINT (-91.184788613552 30.411174386279)
Old Post Office,"Historical Marker erected by City of Baton Rouge

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=87789"">this link</a>",,POINT (-91.18721593591 30.447257483829)
Eric Martin,"Historical Marker erected by Steve Shelly Brett and Michelle May

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=105995""*",,POINT (-91.185223133764 30.412047826396)
Campanile,"Historical Marker erected 1976

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=89333"">this link</a>",,POINT (-91.178815932228 30.414432477628)
Stewart-Dougherty House,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=72959"">this link</a>",,POINT (-91.182844355231 30.452792875137)
Mound Place Pigeon Cote,"Historical Marker No. 22 erected by LSU Rural Life Museum

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=112714"">this l*",,POINT (-91.1156841649 30.410703308708)
Lance Smith,"Historical Marker erected by Curt and Dave Collins Family

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=105997"">this l*",,POINT (-91.185217773975 30.412055996919)
Site of Early Gunsmith Shop,"Historical Marker erected by City of Baton Rouge

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=87868"">this link</a>",,POINT (-91.188525936066 30.446797484096)
Sick House,"Historical Marker No. 17 erected by LSU Rural Life Museum.

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=112058"">this *",,POINT (-91.115332795119 30.410418708739)
Laron Landry,"Historical Marker erected by Heath Cunningham Family & RWS, Inc.

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=106809""*",,POINT (-91.184802023306 30.411182556224)
Robert Dugas,"Historical Marker erected by The W.R. Fowler Family

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=105404"">this link</a>",,POINT (-91.185225813294 30.412073996269)
Stoker Barn,"Historical Marker erected by James and Rebecca Stoker in honor of R.J and Bernice Stoker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/m*",,POINT (-91.115007914748 30.411575479217)
Dutch Highlands,"Historical Marker erected by City and Parish of East Baton Rouge & Foundation for Historical Louisiana

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://*",,POINT (-91.11750191362 30.365337469003)
Sid Fournet,"Historical Marker erected by Hannah, Helen, Hope & Holly Dorsett

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=100379""*",,POINT (-91.185230933417 30.412113476479)
"Joe ""Nacho"" Albergamo","Historical Marker erected by Bryan and Michelle Hanks

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=106000"">this link<*",,POINT (-91.185227163795 30.412038006269)
William Bartram Trail,"Historical Marker erected by The Foundation for Historical Louisiana Marguerite Harrell Mills and David Pipe Mills Fund In Cooperation With The Bartram Trail Conference

<br/><br/>Source: HMdb.org. *",,POINT (-91.205854952236 30.690245535361)
William Bartram Trail,"Historical Marker erected by Burden Horticulture Society and The Bartram Trail Conference

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/*",,POINT (-91.105854911913 30.408678478679)
Spanish Town,"Historical Marker erected by City of Baton Rouge

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=88592"">this link</a>",,POINT (-91.185816935409 30.454625485458)
Bob Petit,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=119510"">this link</a>",,POINT (-91.184735023722 30.415478037344)
Kevin Minter,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=107750"">this link</a>",,POINT (-91.184796663518 30.411158026028)
The First Cemetery In Baton Rouge,"Historical Marker erected 1991 by Grateful Citizens and Parishioners

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=885*",,POINT (-91.173298932197 30.452189485484)
Split-Cypress Barn,"Historical Marker No. 5 erected by LSU Rural Life Museum.

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=114088"">this l*",,POINT (-91.114400784068 30.410534338293)
"Oak Ridge, Louisiana Jail","Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=88285"">this link</a>",,POINT (-91.114996915134 30.411036478982)
George Garig,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=92852"">this link</a>",,POINT (-91.172364929904 30.404767475324)
St. Vincent's Academy/Catholic High School,"Historical Marker erected by City of Baton Rouge

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=87444"">this link</a>",,POINT (-91.187006936024 30.452639485593)
Flag Of France,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=91058"">this link</a>",,POINT (-91.188611935895 30.445652483185)
Pentagon Barracks,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=96740"">this link</a>",,POINT (-91.188502936742 30.456627486117)
Brookhill Ferry Shipwreck,Sank in Miss. River 9/29/1915,https://forteandtablada.com/shipwreck,POINT (-91.191359218925 30.452672544385)
Tiger Bend Archaeological Site,16EBR275,,POINT (-90.971981246329 30.39112014554)
