MARKER NAME,MARKER DESCRIPTION,HYPERLINK,GEOMETRY
1958 SEC Champions,"Historical Marker erected by H.H. & Norma - Wilson & Dorman & Delores - Whatley

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp*",,POINT (-91.18542393415 30.411531476701)
Kevin Faulk,"Historical Marker erected by William B. Potter Family

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=106038"">this link<*",,POINT (-91.185211063569 30.412062546679)
John Garlington,"Historical Marker erected by Dr & Mrs. Charles Leblanc and Family

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=104428*",,POINT (-91.185226934183 30.412091476384)
In Memory of the LSU Students,"Historical Marker erected 1966 by Capt. Frank S. Hagan Squadron Arnold Air Society Louisiana State University

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""h*",,POINT (-91.182717932715 30.41070647652)
Claude Wroten,"Historical Marker erected by The memory of A.E. Kitto #85 1949-50

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=106653*",,POINT (-91.184802023306 30.411182556224)
Doug Moreau,"Historical Marker erected by The Bill Logan Family

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=104401"">this link</a>",,POINT (-91.185238933341 30.412096476569)
Brad Wing,"Historical Marker erected by Gina E. Goings

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=107749"">this link</a>",,POINT (-91.184796663831 30.411161296099)
Greenwell Springs,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=85681"">this link</a>",,POINT (-90.99403921975 30.576205518415)
Ben Wilkerson,"Historical Marker erected by The Dickinson Family JT & 3C's

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=106611"">this*",,POINT (-91.184808733094 30.411197276824)
George Tarasovic,"Historical Marker erected by Emerald -Lee, Hebert, Afeman Families

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=10017*",,POINT (-91.185239934106 30.412104476506)
